OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
43905,Van Ness Ave&O'Farrell St NS-N/SI,V N OFA2,,8102,37.784782,-122.421208,,OFARRELL ST,VAN NESS AVE,,,,,20230512124615,14819913,141,None,POINT (-122.42121 37.784782),20,20,4,11,36
43856,Union St&Taylor St NE-NS,UNINTAY0,UNINTAYL,6783,37.799895,-122.414025,0,TAYLOR ST,UNION ST,NS,NE,None,0,20230512124615,14814962,141,None,POINT (-122.414024 37.799896),107,107,6,3,32
41454,Eddy St&Gough St NW-FS/BZ,EDDYGOU0,EDDYGOUG,4477,37.782516,-122.42427,0,GOUGH ST,EDDY ST,FS,NW,BZ,1,20230512124615,14810627,141,None,POINT (-122.42427 37.782516),100,100,4,11,39
41302,Excelsior Ave&Mission St S-FS/BZ,EXCLMIS0,EXCLMISS,4572,37.726162,-122.433577,0,MISSION ST,EXCELSIOR AVE,FS,SO,BZ,0,20230512124615,14810103,141,None,POINT (-122.43358 37.726162),90,90,9,1,7
43477,Blanken Ave&Tunnel Ave SW-NS/SB,BLKNTUNL,BLKNTUNL,7012,37.71201,-122.40092,0,TUNNEL AVE,BLANKEN AVE,NS,NW,None,0,20230512124615,14816079,141,None,POINT (-122.40092 37.71201),89,89,2,9,1
42093,Lincoln Way&23rd Ave NW-FS/BZ,LWAY23A0,LWAY23AV,5312,37.765329,-122.481839,0,23RD AVE,LINCOLN WY,FS,NW,BZ,0,20230512124615,14812529,141,None,POINT (-122.48184 37.765327),9,9,10,4,12
40813,25th Ave&Geary Blvd NW-NS/BZ,25AVGEA1,25AVGEAR,3500,37.780255,-122.484837,0,GEARY BLVD,25TH AVE,NS,NW,BZ,1,20230512124615,14808772,141,None,POINT (-122.48484 37.780254),8,8,8,4,29
43605,Silver Ave&Cambridge St SE-FS/BZ,SILVCAM0,SILVCAMB,6399,37.729015,-122.419167,0,CAMBRIDGE ST,SILVER AVE,FS,SE,BZ,1,20230512124615,14817701,141,None,POINT (-122.41917 37.729015),92,92,2,2,7
40928,39th Ave&Quintara St SE-NS,39AVQUI0,39AVQUIN,3563,37.747621,-122.497424,0,QUINTARA ST,39TH AVE,NS,SE,None,0,20230512124615,14809189,141,None,POINT (-122.49742 37.74762),39,39,10,7,35
43085,Portola Dr&San Pablo Ave NE-NS,PORTPAB0,PORTPABL,6116,37.7404,-122.46107,0,SAN PABLO AVE,PORTOLA DR,NS,NE,None,0,20230512124615,14817290,141,None,POINT (-122.46107 37.7404),49,49,10,8,41
43946,Daly City Bart Station W-FS/SI,DC.BARTI,,7842,37.706514,-122.468632,,WEST STATION RD,BART ACCESS RD,,,,,20230512124615,14820045,141,None,POINT (-122.468636 37.706512),,,,,
42329,Sutter St&Presidio Ave SE-FS/BZ,SUTTPRE1,SUTTPRES,6605,37.784383,-122.446175,0,POST ST,PRESIDIO AVE,FS,SE,BZ,1,20230512124615,14814982,141,None,POINT (-122.446175 37.78438),103,103,8,11,31
41771,Halleck & French Ct NE-NS/SB,HLCKHQT0,HLCKHQTR,5020,37.802014,-122.454498,0,FRENCH CT,HALLECK ST,FS,NE,None,0,20230512124615,14811541,141,None,POINT (-122.4545 37.802013),3,3,,6,27
